case,cores,method,baseline,makespan,speedup,baseline_cycles,makespan_cycles,observed_speedup,plot_speedup,attempt_id,revision
017,2,p1_branch_refine_834d8c9,162810,82005,1.9853667459301263,162810,82005,1.9853667459301263,1.9853667459301263,20260925T1525Z-s6607-branch-full500-p1-017-k2,1
017,3,p1_branch_refine_834d8c9,162810,58579,2.7793236484064257,162810,58579,2.7793236484064257,2.7793236484064257,20260925T1525Z-s6607-branch-full500-p1-017-k3,1
017,4,p1_branch_refine_834d8c9,162810,42384,3.841308040770102,162810,42384,3.841308040770102,3.841308040770102,20260925T1525Z-s6607-branch-full500-p1-017-k4,1
017,5,p1_branch_refine_834d8c9,162810,35496,4.586713995943205,162810,35496,4.586713995943205,4.586713995943205,20260925T1525Z-s6607-branch-full500-p1-017-k5,1
018,1,p1_branch_refine_834d8c9,1004367,1004367,1.0,1004367,1004367,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-018-k1,1
018,2,p1_branch_refine_834d8c9,1004367,504468,1.9909429339422917,1004367,504468,1.9909429339422917,1.9909429339422917,20260925T1525Z-s6607-branch-full500-p1-018-k2,1
018,3,p1_branch_refine_834d8c9,1004367,339838,2.9554287631165437,1004367,339838,2.9554287631165437,2.9554287631165437,20260925T1525Z-s6607-branch-full500-p1-018-k3,1
018,4,p1_branch_refine_834d8c9,1004367,258063,3.8919449901768175,1004367,258063,3.8919449901768175,3.8919449901768175,20260925T1525Z-s6607-branch-full500-p1-018-k4,1
018,5,p1_branch_refine_834d8c9,1004367,205917,4.8775331808447095,1004367,205917,4.8775331808447095,4.8775331808447095,20260925T1525Z-s6607-branch-full500-p1-018-k5,1
019,1,p1_branch_refine_834d8c9,81144,81144,1.0,81144,81144,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-019-k1,1
019,2,p1_branch_refine_834d8c9,81144,43224,1.8772903942254304,81144,43224,1.8772903942254304,1.8772903942254304,20260925T1525Z-s6607-branch-full500-p1-019-k2,1
019,3,p1_branch_refine_834d8c9,81144,28986,2.7994204098530324,81144,28986,2.7994204098530324,2.7994204098530324,20260925T1525Z-s6607-branch-full500-p1-019-k3,1
019,4,p1_branch_refine_834d8c9,81144,24099,3.3671106684924688,81144,24099,3.3671106684924688,3.3671106684924688,20260925T1525Z-s6607-branch-full500-p1-019-k4,1
019,5,p1_branch_refine_834d8c9,81144,24169,3.357358599859324,81144,24169,3.357358599859324,3.357358599859324,20260925T1525Z-s6607-branch-full500-p1-019-k5,1
020,1,p1_branch_refine_834d8c9,532746,534174,0.9973267137674241,532746,534174,0.9973267137674241,1.0,20260925T1525Z-s6607-branch-full500-p1-020-k1,1
020,2,p1_branch_refine_834d8c9,532746,266580,1.9984469952734638,532746,266580,1.9984469952734638,1.9984469952734638,20260925T1525Z-s6607-branch-full500-p1-020-k2,1
020,3,p1_branch_refine_834d8c9,532746,177950,2.993796010115201,532746,177950,2.993796010115201,2.993796010115201,20260925T1525Z-s6607-branch-full500-p1-020-k3,1
020,4,p1_branch_refine_834d8c9,532746,133704,3.984518039849219,532746,133704,3.984518039849219,3.984518039849219,20260925T1525Z-s6607-branch-full500-p1-020-k4,1
020,5,p1_branch_refine_834d8c9,532746,107650,4.948871342313051,532746,107650,4.948871342313051,4.948871342313051,20260925T1525Z-s6607-branch-full500-p1-020-k5,1
021,1,p1_branch_refine_834d8c9,6567937,6567937,1.0,6567937,6567937,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-021-k1,1
021,2,p1_branch_refine_834d8c9,6567937,3194570,2.0559690349561914,6567937,3194570,2.0559690349561914,2.0559690349561914,20260925T1525Z-s6607-branch-full500-p1-021-k2,1
021,3,p1_branch_refine_834d8c9,6567937,2108919,3.114361907688252,6567937,2108919,3.114361907688252,3.114361907688252,20260925T1525Z-s6607-branch-full500-p1-021-k3,1
