case,cores,old_makespan,new_makespan,old_ddr,new_ddr,delta_cycles,delta_bytes,relative_ddr,category
049,2,151811,85275,0,765570,-66536,765570,,mk_down_ddr_up
049,3,151884,61553,0,1530960,-90331,1530960,,mk_down_ddr_up
049,4,151957,55135,0,1353582,-96822,1353582,,mk_down_ddr_up
049,5,152030,47658,0,1406788,-104372,1406788,,mk_down_ddr_up
050,1,141465,133811,0,636184,-7654,636184,,mk_down_ddr_up
050,2,102921,70491,3456,1902526,-32430,1899070,549.4994212962963,mk_down_ddr_up
050,3,102989,49868,6912,1125534,-53121,1118622,161.83767361111111,mk_down_ddr_up
050,4,103057,40176,10368,1157402,-62881,1147034,110.63213734567901,mk_down_ddr_up
050,5,103125,35268,13824,1001340,-67857,987516,71.43489583333333,mk_down_ddr_up
051,1,607628,607628,0,0,0,0,,unchanged
051,2,317840,317840,716,716,0,0,0.0,unchanged
051,3,228325,228325,952,952,0,0,0.0,unchanged
051,4,185899,182118,525504,492952,-3781,-32552,-0.061944342954573135,both_down
051,5,182999,168773,263652,394636,-14226,130984,0.4968063963102878,mk_down_ddr_up
052,1,156852,142046,0,202760,-14806,202760,,mk_down_ddr_up
052,2,79014,72917,98304,575544,-6097,477240,4.854736328125,mk_down_ddr_up
052,3,49446,49446,172032,172032,0,0,0.0,unchanged
052,4,38023,38023,250368,250368,0,0,0.0,unchanged
052,5,32160,32160,328704,328704,0,0,0.0,unchanged
053,1,1451270,1228587,5460832,270452,-222683,-5190380,-0.950474213453188,both_down
053,2,982193,633140,5460832,4004002,-349053,-1456830,-0.26677802942848267,both_down
053,3,517838,449374,5858368,6722154,-68464,863786,0.14744481739624415,mk_down_ddr_up
053,4,475455,370152,6416288,7644652,-105303,1228364,0.1914446483698986,mk_down_ddr_up
053,5,476886,337612,6974208,10543904,-139274,3569696,0.511842491649231,mk_down_ddr_up
054,1,796552,675266,0,1001120,-121286,1001120,,mk_down_ddr_up
054,2,500695,359271,49152,2904622,-141424,2855470,58.094685872395836,mk_down_ddr_up
054,3,500942,261723,98304,4238512,-239219,4140208,42.116373697916664,mk_down_ddr_up
054,4,501392,210483,147456,4629470,-290909,4482014,30.39560275607639,mk_down_ddr_up
054,5,501842,190685,196608,5607488,-311157,5410880,27.521158854166668,mk_down_ddr_up
055,1,97795,70981,0,159820,-26814,159820,,mk_down_ddr_up
055,2,48332,38196,57856,413486,-10136,355630,6.146812776548672,mk_down_ddr_up
055,3,31572,31087,57856,559018,-485,501162,8.662230365044248,mk_down_ddr_up
055,4,28296,28242,157184,708172,-54,550988,3.505369503257329,mk_down_ddr_up
055,5,21144,21144,115712,115712,0,0,0.0,unchanged
056,1,260878,246382,0,46662,-14496,46662,,mk_down_ddr_up
056,2,253173,126755,0,1625176,-126418,1625176,,mk_down_ddr_up
056,3,253246,89179,0,1731668,-164067,1731668,,mk_down_ddr_up
056,4,253319,77230,0,2067842,-176089,2067842,,mk_down_ddr_up
056,5,253392,69685,0,2446782,-183707,2446782,,mk_down_ddr_up
057,1,55200,51663,0,204874,-3537,204874,,mk_down_ddr_up
057,2,33050,25986,0,322788,-7064,322788,,mk_down_ddr_up
057,3,23815,19811,14112,588658,-4004,574546,40.71329365079365,mk_down_ddr_up
057,4,19328,16939,14112,198746,-2389,184634,13.083475056689343,mk_down_ddr_up
057,5,16210,16210,14112,14112,0,0,0.0,unchanged
058,1,4519395,4519395,30490624,30490624,0,0,0.0,unchanged
058,2,2265259,2265259,35201024,35201024,0,0,0.0,unchanged
058,3,1509251,1509251,35782656,35782656,0,0,0.0,unchanged
058,4,1158637,1158637,44392448,44392448,0,0,0.0,unchanged
058,5,1082199,1082199,41074688,41074688,0,0,0.0,unchanged
059,1,826573,826573,1691648,1691648,0,0,0.0,unchanged
059,2,369318,369318,360448,360448,0,0,0.0,unchanged
059,3,264422,264422,2998272,2998272,0,0,0.0,unchanged
059,4,185216,185216,1081344,1081344,0,0,0.0,unchanged
059,5,150867,150867,4325376,4325376,0,0,0.0,unchanged
060,1,864899,751981,1219584,8304798,-112918,7085214,5.809533414672544,mk_down_ddr_up
060,2,429368,398996,1954944,8220122,-30372,6265178,3.2047864286649643,mk_down_ddr_up
060,3,288574,288574,2930816,2930816,0,0,0.0,unchanged
060,4,216590,216590,3147008,3147008,0,0,0.0,unchanged
060,5,172962,172962,3598464,3598464,0,0,0.0,unchanged
061,1,73918,73915,0,0,-3,0,,mk_down_ddr_same
061,2,38942,37327,34560,198712,-1615,164152,4.749768518518518,mk_down_ddr_up
061,3,27307,25993,43008,255076,-1314,212068,4.9308965773809526,mk_down_ddr_up
061,4,23779,20547,70656,244954,-3232,174298,2.466853487318841,mk_down_ddr_up
061,5,22503,18284,81408,234124,-4219,152716,1.87593356918239,mk_down_ddr_up
062,1,2619177,2619177,0,0,0,0,,unchanged
062,2,1389508,1389508,6144,6144,0,0,0.0,unchanged
062,3,923516,923516,18432,18432,0,0,0.0,unchanged
062,4,775354,775354,24576,24576,0,0,0.0,unchanged
062,5,617306,617306,43008,43008,0,0,0.0,unchanged
063,1,982413,982413,0,0,0,0,,unchanged
063,2,520672,520672,12288,12288,0,0,0.0,unchanged
063,3,367184,367184,15360,15360,0,0,0.0,unchanged
063,4,291142,291142,36864,36864,0,0,0.0,unchanged
063,5,232764,232764,33792,33792,0,0,0.0,unchanged
064,1,17829,16334,0,0,-1495,0,,mk_down_ddr_same
064,2,16621,10393,72902,76262,-6228,3360,0.04608927052755754,mk_down_ddr_up
064,3,14782,11239,98860,92844,-3543,-6016,-0.06085373255108234,both_down
064,4,13322,11253,114192,93586,-2069,-20606,-0.18045046938489562,both_down
064,5,13697,11274,122132,93940,-2423,-28192,-0.2308322143254839,both_down
065,1,41549,32594,0,0,-8955,0,,mk_down_ddr_same
065,2,17097,17097,13968,13968,0,0,0.0,unchanged
065,3,11636,11636,27936,27936,0,0,0.0,unchanged
065,4,10779,10779,41904,41904,0,0,0.0,unchanged
065,5,9429,9429,55728,55728,0,0,0.0,unchanged
066,1,346060,285974,0,7008,-60086,7008,,mk_down_ddr_up
066,2,245616,154036,0,2964092,-91580,2964092,,mk_down_ddr_up
066,3,247573,121797,12288,2697598,-125776,2685310,218.53108723958334,mk_down_ddr_up
066,4,248283,108456,20784,2810168,-139827,2789384,134.20823710546574,mk_down_ddr_up
066,5,248898,87236,29280,2748152,-161662,2718872,92.85765027322404,mk_down_ddr_up
067,1,60623154,60623154,34181120,34181120,0,0,0.0,unchanged
067,2,30540678,30540678,21760384,21760384,0,0,0.0,unchanged
067,3,20263960,20263960,17584896,17584896,0,0,0.0,unchanged
067,4,15224345,15224345,16931968,16931968,0,0,0.0,unchanged
067,5,12592585,12592585,17327616,17327616,0,0,0.0,unchanged
068,1,341673,260249,0,246276,-81424,246276,,mk_down_ddr_up
068,2,292111,149888,0,2605132,-142223,2605132,,mk_down_ddr_up
068,3,292959,133864,648,3809704,-159095,3809056,5878.172839506173,mk_down_ddr_up
068,4,294340,135357,1296,4239404,-158983,4238108,3270.145061728395,mk_down_ddr_up
068,5,295114,134367,1944,4469970,-160747,4468026,2298.367283950617,mk_down_ddr_up
069,1,24009,19325,0,0,-4684,0,,mk_down_ddr_same
069,2,18971,13308,526470,251878,-5663,-274592,-0.5215719794100329,both_down
069,3,20997,10189,676650,326156,-10808,-350494,-0.5179841868026306,both_down
069,4,18379,10293,724460,295376,-8086,-429084,-0.5922811473373271,both_down
069,5,19824,11962,763410,321938,-7862,-441472,-0.5782895167734246,both_down
070,1,98267,93082,0,0,-5185,0,,mk_down_ddr_same
070,2,52465,47873,129536,364386,-4592,234850,1.8130095108695652,mk_down_ddr_up
070,3,36663,33242,259072,430822,-3421,171750,0.6629431200592886,mk_down_ddr_up
070,4,31379,29485,287232,795660,-1894,508428,1.7700952540106951,mk_down_ddr_up
070,5,29585,25500,361472,752872,-4085,391400,1.0827947946175638,mk_down_ddr_up
071,1,18205,14386,0,0,-3819,0,,mk_down_ddr_same
071,2,16870,9261,359076,235654,-7609,-123422,-0.3437211063953035,both_down
071,3,15390,9266,411722,239114,-6124,-172608,-0.419234337732742,both_down
071,4,13146,8279,426124,256142,-4867,-169982,-0.3989026668293736,both_down
071,5,11332,9465,420016,273776,-1867,-146240,-0.3481772122966744,both_down
072,1,23753369,22976587,87109680,160301576,-776782,73191896,0.8402268955643046,mk_down_ddr_up
072,2,12235759,11663236,90319648,205385170,-572523,115065522,1.2739810722025844,mk_down_ddr_up
072,3,8327225,7844564,93653792,201600624,-482661,107946832,1.1526157104241972,mk_down_ddr_up
072,4,6326553,5940529,98222768,208294602,-386024,110071834,1.1206346170166983,mk_down_ddr_up
072,5,5087361,4877876,103942944,225319748,-209485,121376804,1.1677252859030047,mk_down_ddr_up
073,1,8210935,8210935,188416,188416,0,0,0.0,unchanged
073,2,4236424,4236424,3721600,3721600,0,0,0.0,unchanged
073,3,2854038,2854038,7443200,7443200,0,0,0.0,unchanged
073,4,2222685,2222685,11164800,11164800,0,0,0.0,unchanged
073,5,1846409,1846409,14886400,14886400,0,0,0.0,unchanged
074,1,1725175,1579934,6029312,573480,-145241,-5455832,-0.9048846700917119,both_down
074,2,812465,791372,6078464,3424428,-21093,-2654036,-0.43662938531839623,both_down
074,3,568858,533381,6848512,9691416,-35477,2842904,0.4151126551285885,mk_down_ddr_up
074,4,455270,408601,7749632,10473740,-46669,2724108,0.35151449772066595,mk_down_ddr_up
074,5,369653,336399,8282112,10432782,-33254,2150670,0.2596765172941395,mk_down_ddr_up
075,1,1390602,1123934,0,0,-266668,0,,mk_down_ddr_same
075,2,788503,587399,9020806,4003846,-201104,-5016960,-0.5561542948601267,both_down
075,3,633496,444511,12732780,9984172,-188985,-2748608,-0.21586864769516162,both_down
075,4,478237,383596,11176146,8962930,-94641,-2213216,-0.19803034069168388,both_down
075,5,415695,343930,14007830,10198200,-71765,-3809630,-0.27196432281088506,both_down
076,1,6309740,6090538,22429696,46922752,-219202,24493056,1.091992330168006,mk_down_ddr_up
076,2,3073638,3046487,20335616,64446468,-27151,44110852,2.1691426510020646,mk_down_ddr_up
076,3,2040164,2040164,21639168,21639168,0,0,0.0,unchanged
076,4,1525945,1525945,23612416,23612416,0,0,0.0,unchanged
076,5,1223373,1223373,26246144,26246144,0,0,0.0,unchanged
077,1,482049,427102,0,823962,-54947,823962,,mk_down_ddr_up
077,2,241321,225243,57344,3369700,-16078,3312356,57.762904575892854,mk_down_ddr_up
077,3,182033,167154,114688,2440932,-14879,2326244,20.283238002232142,mk_down_ddr_up
077,4,122380,122380,114688,114688,0,0,0.0,unchanged
077,5,113920,113920,172032,172032,0,0,0.0,unchanged
078,1,2061245,2061245,0,0,0,0,,unchanged
078,2,1020602,1020602,2148480,2148480,0,0,0.0,unchanged
078,3,766082,710847,4296960,7242840,-55235,2945880,0.6855730563002681,mk_down_ddr_up
078,4,516480,516480,6445440,6445440,0,0,0.0,unchanged
078,5,516480,477473,6445440,11601408,-39007,5155968,0.7999404229967233,mk_down_ddr_up
